sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
AW108	NODE_13856_length_3819_cov_19.1	0.332	0.005	0.002	0.424	0.263	0.003	0.002	0.023	0.008	0.007	0.008	0.008	848	16.932	3819	0.019	0.025	0.011	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000
AW108	NODE_12212_length_4153_cov_81.3	0.675	0.007	0.002	0.220	0.107	0.003	0.002	0.020	0.004	0.000	0.000	0.005	3777	71.393	4153	0.019	0.024	0.003	0.014	0.010	0.010	0.005	0.002	0.007	0.015	0.000	0.000	0.000	0.005	0.003	0.007	0.002	0.007	0.002	0.000
AW108	NODE_1909_length_14420_cov_33.6	0.514	0.005	0.001	0.333	0.085	0.002	0.001	0.021	0.003	0.000	0.000	0.003	4974	29.884	14420	0.018	0.022	0.006	0.005	0.007	0.005	0.006	0.000	0.003	0.003	0.000	0.006	0.003	0.005	0.006	0.000	0.000	0.003	0.000	0.003
AW108	NODE_8112_length_5429_cov_25.2	0.370	0.006	0.002	0.309	0.126	0.003	0.002	0.021	0.004	0.001	0.001	0.004	1290	22.164	5429	0.020	0.016	0.015	0.010	0.011	0.000	0.000	0.006	0.005	0.000	0.005	0.000	0.012	0.000	0.000	0.016	0.000	0.006	0.000	0.000
AW108	NODE_14392_length_3724_cov_56.4	0.583	0.007	0.002	0.493	0.108	0.004	0.001	0.032	0.004	0.000	0.000	0.004	1976	48.458	3724	0.030	0.025	0.007	0.007	0.003	0.000	0.007	0.007	0.007	0.015	0.007	0.004	0.007	0.003	0.004	0.000	0.003	0.007	0.000	0.000
AW108	NODE_7939_length_5499_cov_32.3	0.415	0.005	0.002	0.208	0.073	0.000	0.002	0.022	0.004	0.000	0.000	0.004	1933	28.200	5499	0.014	0.025	0.022	0.006	0.015	0.003	0.003	0.000	0.000	0.003	0.000	0.000	0.000	0.003	0.003	0.000	0.003	0.003	0.000	0.000
AW108	NODE_5965_length_6594_cov_122.1	0.920	0.024	0.003	0.338	0.116	0.019	0.002	0.053	0.007	0.000	0.000	0.007	8219	105.594	6594	0.044	0.057	0.040	0.022	0.025	0.019	0.016	0.004	0.026	0.016	0.023	0.015	0.025	0.028	0.019	0.016	0.015	0.027	0.023	0.015
AW108	NODE_4198_length_8350_cov_56.8	0.666	0.014	0.002	0.342	0.092	0.010	0.001	0.037	0.004	0.000	0.000	0.004	5042	50.501	8350	0.040	0.022	0.017	0.023	0.019	0.016	0.010	0.015	0.007	0.013	0.007	0.016	0.007	0.007	0.007	0.016	0.016	0.005	0.015	0.004
AW108	NODE_5073_length_7356_cov_29.3	0.458	0.009	0.002	0.248	0.063	0.004	0.002	0.031	0.004	0.000	0.000	0.004	2615	25.051	7356	0.026	0.031	0.019	0.021	0.011	0.005	0.007	0.004	0.005	0.002	0.009	0.007	0.000	0.012	0.002	0.005	0.002	0.010	0.000	0.004
AW108	NODE_6710_length_6116_cov_30.4	0.472	0.008	0.002	0.315	0.106	0.003	0.002	0.034	0.006	0.000	0.000	0.006	1966	26.742	6116	0.028	0.042	0.004	0.019	0.000	0.014	0.006	0.000	0.007	0.004	0.000	0.000	0.003	0.008	0.007	0.000	0.000	0.004	0.004	0.003
AW108	NODE_3227_length_10060_cov_22.0	0.543	0.010	0.003	0.313	0.060	0.002	0.002	0.049	0.005	0.000	0.000	0.005	2337	19.781	10060	0.043	0.045	0.022	0.021	0.006	0.006	0.005	0.006	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.013	0.005	0.000
AW108	NODE_16485_length_3394_cov_82.0	0.734	0.007	0.002	0.375	0.069	0.003	0.001	0.034	0.004	0.000	0.000	0.003	3010	72.401	3394	0.030	0.031	0.015	0.008	0.003	0.003	0.006	0.009	0.003	0.000	0.003	0.003	0.006	0.003	0.000	0.006	0.003	0.000	0.009	0.005
AW108	NODE_6139_length_6461_cov_38.8	0.529	0.011	0.002	0.209	0.086	0.004	0.003	0.035	0.006	0.000	0.000	0.007	2507	33.912	6461	0.020	0.044	0.030	0.025	0.012	0.010	0.000	0.007	0.007	0.007	0.007	0.000	0.012	0.006	0.011	0.000	0.009	0.004	0.006	0.003
AW108	NODE_1331_length_18809_cov_24.7	0.546	0.007	0.002	0.351	0.081	0.003	0.001	0.029	0.004	0.000	0.000	0.004	4368	21.748	18809	0.026	0.028	0.010	0.008	0.005	0.007	0.007	0.005	0.000	0.010	0.000	0.010	0.002	0.002	0.005	0.006	0.002	0.000	0.007	0.000
AW108	NODE_5461_length_6986_cov_19.7	0.484	0.009	0.003	0.402	0.112	0.003	0.002	0.047	0.008	0.000	0.000	0.008	1285	17.340	6986	0.038	0.055	0.007	0.012	0.006	0.000	0.000	0.000	0.000	0.006	0.000	0.013	0.000	0.005	0.006	0.006	0.000	0.006	0.006	0.006
AW108	NODE_4500_length_7998_cov_67.3	0.637	0.008	0.001	0.289	0.099	0.005	0.001	0.022	0.003	0.000	0.000	0.003	6041	57.732	7998	0.020	0.025	0.008	0.011	0.012	0.009	0.008	0.006	0.002	0.002	0.006	0.009	0.010	0.005	0.007	0.008	0.012	0.001	0.001	0.002
AW108	NODE_2472_length_12151_cov_26.4	0.488	0.005	0.002	0.580	0.080	0.002	0.001	0.029	0.003	0.000	0.000	0.002	3801	23.460	12151	0.029	0.013	0.008	0.005	0.000	0.006	0.000	0.005	0.000	0.006	0.000	0.006	0.005	0.006	0.000	0.003	0.000	0.000	0.003	0.000
AW108	NODE_2885_length_10878_cov_43.6	0.571	0.006	0.002	0.345	0.070	0.002	0.001	0.028	0.003	0.000	0.000	0.003	4603	38.511	10878	0.025	0.023	0.020	0.003	0.005	0.003	0.003	0.003	0.003	0.006	0.000	0.003	0.008	0.006	0.003	0.000	0.000	0.003	0.003	0.000
AW108	NODE_2563_length_11881_cov_52.4	0.575	0.007	0.001	0.083	0.085	0.000	0.005	0.015	0.003	0.000	0.000	0.004	6817	47.349	11881	0.012	0.020	0.007	0.009	0.016	0.014	0.008	0.003	0.008	0.005	0.002	0.011	0.008	0.000	0.005	0.004	0.005	0.000	0.002	0.002
AW108	NODE_3932_length_8734_cov_22.3	0.404	0.005	0.002	0.360	0.170	0.002	0.002	0.025	0.007	0.000	0.000	0.007	1739	19.318	8734	0.017	0.038	0.000	0.008	0.000	0.000	0.004	0.003	0.009	0.013	0.000	0.000	0.000	0.004	0.000	0.004	0.000	0.004	0.000	0.004
AW108	NODE_4044_length_8557_cov_54.6	0.606	0.009	0.002	0.282	0.102	0.005	0.002	0.026	0.004	0.000	0.000	0.004	5028	49.025	8557	0.023	0.021	0.022	0.018	0.002	0.011	0.004	0.002	0.006	0.012	0.010	0.004	0.004	0.011	0.002	0.009	0.004	0.002	0.011	0.004
AW108	NODE_18994_length_3094_cov_140.3	0.896	0.008	0.001	0.505	0.102	0.006	0.001	0.025	0.003	0.000	0.000	0.003	4704	121.714	3094	0.026	0.014	0.010	0.013	0.004	0.005	0.003	0.003	0.011	0.007	0.007	0.006	0.006	0.009	0.002	0.003	0.005	0.008	0.003	0.007
AW108	NODE_3007_length_10559_cov_36.5	0.527	0.006	0.001	0.602	0.119	0.004	0.001	0.028	0.003	0.000	0.000	0.003	4203	32.436	10559	0.029	0.010	0.012	0.008	0.007	0.004	0.002	0.002	0.009	0.002	0.004	0.009	0.010	0.000	0.000	0.004	0.006	0.000	0.004	0.002
AW108	NODE_2454_length_12184_cov_30.1	0.468	0.005	0.001	0.420	0.136	0.003	0.001	0.021	0.004	0.000	0.000	0.004	4257	26.589	12184	0.022	0.011	0.004	0.004	0.017	0.002	0.002	0.004	0.009	0.004	0.002	0.000	0.002	0.000	0.000	0.002	0.002	0.000	0.006	0.002
AW108	NODE_1342_length_18655_cov_42.3	0.582	0.006	0.001	0.136	0.057	0.001	0.002	0.015	0.002	0.000	0.000	0.002	8344	37.916	18655	0.014	0.013	0.012	0.014	0.004	0.012	0.007	0.004	0.009	0.002	0.004	0.006	0.003	0.002	0.002	0.002	0.000	0.005	0.002	0.004
AW108	NODE_7044_length_5929_cov_90.0	0.782	0.014	0.002	0.220	0.064	0.009	0.002	0.033	0.003	0.000	0.000	0.004	5354	78.963	5929	0.034	0.023	0.024	0.027	0.018	0.015	0.007	0.018	0.014	0.011	0.005	0.009	0.013	0.010	0.015	0.009	0.006	0.014	0.005	0.011
AW108	NODE_6533_length_6207_cov_25.6	0.530	0.010	0.003	0.512	0.119	0.006	0.002	0.051	0.007	0.000	0.000	0.007	1540	22.383	6207	0.051	0.028	0.015	0.009	0.018	0.000	0.009	0.000	0.029	0.005	0.013	0.000	0.004	0.009	0.005	0.000	0.009	0.000	0.005	0.000
AW108	NODE_8511_length_5263_cov_19.0	0.426	0.007	0.003	0.268	0.104	0.000	0.004	0.040	0.008	0.000	0.000	0.009	950	16.634	5263	0.026	0.061	0.009	0.008	0.010	0.009	0.000	0.012	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW108	NODE_7421_length_5726_cov_66.1	0.631	0.009	0.001	0.272	0.071	0.005	0.001	0.026	0.003	0.000	0.000	0.003	3548	57.314	5726	0.028	0.016	0.017	0.006	0.019	0.010	0.009	0.008	0.004	0.008	0.006	0.004	0.004	0.004	0.004	0.002	0.006	0.010	0.006	0.002
AW108	NODE_2784_length_11184_cov_54.0	0.618	0.008	0.001	0.266	0.067	0.005	0.001	0.024	0.003	0.000	0.000	0.003	6015	48.207	11184	0.021	0.025	0.016	0.008	0.013	0.011	0.002	0.006	0.004	0.006	0.007	0.005	0.004	0.009	0.005	0.002	0.009	0.004	0.006	0.002
AW110A	NODE_3102_length_10764_cov_209.7	0.979	0.004	0.001	0.637	0.119	0.003	0.000	0.014	0.001	0.000	0.000	0.001	22726	181.048	10764	0.014	0.006	0.005	0.005	0.005	0.004	0.003	0.004	0.003	0.003	0.002	0.003	0.007	0.003	0.003	0.001	0.002	0.003	0.002	0.001
AW110A	NODE_80_length_45598_cov_162.1	0.984	0.002	0.000	0.304	0.053	0.001	0.000	0.007	0.001	0.000	0.000	0.001	72313	142.683	45598	0.008	0.005	0.003	0.004	0.004	0.002	0.002	0.002	0.001	0.002	0.002	0.002	0.003	0.002	0.001	0.001	0.001	0.001	0.001	0.001
AW110A	NODE_451_length_25977_cov_108.0	0.895	0.003	0.001	0.361	0.046	0.002	0.000	0.013	0.001	0.000	0.000	0.001	27955	94.889	25977	0.013	0.008	0.005	0.007	0.004	0.001	0.002	0.002	0.002	0.002	0.001	0.002	0.002	0.001	0.003	0.002	0.001	0.001	0.002	0.002
AW110A	NODE_10_length_71843_cov_209.9	0.998	0.003	0.000	0.379	0.044	0.002	0.000	0.010	0.001	0.000	0.000	0.001	143616	182.840	71843	0.010	0.007	0.004	0.005	0.004	0.002	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.003	0.002	0.002	0.002	0.001	0.001	0.001
AW110A	NODE_3320_length_10402_cov_150.0	0.933	0.004	0.001	0.558	0.061	0.002	0.000	0.016	0.001	0.000	0.000	0.001	18132	134.598	10402	0.016	0.008	0.004	0.004	0.004	0.003	0.003	0.003	0.002	0.004	0.002	0.001	0.002	0.004	0.004	0.002	0.001	0.001	0.001	0.001
AW110A	NODE_487_length_25289_cov_44.7	0.648	0.004	0.001	0.452	0.125	0.003	0.001	0.014	0.002	0.000	0.000	0.002	10624	38.733	25289	0.014	0.008	0.003	0.008	0.007	0.002	0.002	0.002	0.002	0.005	0.004	0.004	0.002	0.004	0.002	0.003	0.005	0.001	0.001	0.001
AW110A	NODE_1459_length_15657_cov_79.6	0.735	0.003	0.001	0.388	0.033	0.001	0.000	0.011	0.001	0.000	0.000	0.000	13184	70.974	15657	0.011	0.007	0.005	0.004	0.002	0.002	0.003	0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.002	0.001	0.001	0.002	0.001	0.002
AW110A	NODE_570_length_23715_cov_110.5	0.885	0.003	0.001	0.392	0.077	0.002	0.000	0.010	0.001	0.000	0.000	0.001	26291	96.741	23715	0.011	0.004	0.005	0.005	0.003	0.002	0.002	0.001	0.002	0.002	0.002	0.003	0.002	0.002	0.001	0.002	0.002	0.002	0.001	0.000
AW110A	NODE_401_length_27258_cov_149.0	0.956	0.002	0.000	0.637	0.078	0.002	0.000	0.008	0.001	0.000	0.000	0.001	42705	131.177	27258	0.008	0.004	0.003	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.002	0.000	0.001
AW110A	NODE_384_length_27596_cov_139.7	0.948	0.004	0.000	0.270	0.111	0.003	0.001	0.009	0.001	0.000	0.000	0.001	40141	123.191	27596	0.010	0.007	0.004	0.007	0.005	0.004	0.006	0.003	0.002	0.005	0.005	0.002	0.001	0.005	0.004	0.004	0.002	0.002	0.003	0.004
AW110A	NODE_751_length_21266_cov_159.6	0.962	0.007	0.001	0.300	0.056	0.006	0.000	0.014	0.001	0.000	0.000	0.001	32873	141.317	21266	0.014	0.012	0.010	0.006	0.009	0.007	0.007	0.007	0.008	0.007	0.005	0.007	0.006	0.006	0.006	0.006	0.004	0.005	0.005	0.005
AW110A	NODE_9438_length_5470_cov_29.0	0.394	0.005	0.001	0.990	0.345	0.004	0.001	0.021	0.006	0.024	0.034	0.005	1638	25.712	5470	0.021	0.000	0.009	0.014	0.018	0.000	0.005	0.000	0.004	0.004	0.004	0.000	0.004	0.013	0.000	0.000	0.004	0.000	0.000	0.000
AW110A	NODE_309_length_29472_cov_170.2	0.976	0.005	0.000	0.349	0.083	0.004	0.000	0.009	0.001	0.000	0.000	0.001	48843	149.348	29472	0.010	0.007	0.005	0.007	0.005	0.005	0.004	0.004	0.004	0.006	0.004	0.004	0.004	0.003	0.003	0.004	0.004	0.003	0.004	0.004
AW110A	NODE_3206_length_10585_cov_209.0	0.979	0.003	0.001	0.607	0.078	0.002	0.000	0.012	0.001	0.000	0.000	0.001	21470	182.503	10585	0.012	0.005	0.004	0.003	0.004	0.002	0.003	0.002	0.003	0.003	0.001	0.003	0.002	0.004	0.003	0.002	0.001	0.001	0.001	0.001
AW110A	NODE_9212_length_5566_cov_17.8	0.269	0.001	0.001	0.194	0.158	0.000	0.001	0.006	0.002	0.035	0.049	0.002	998	15.868	5566	0.000	0.009	0.008	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_13501_length_4290_cov_20.7	0.310	0.004	0.002	0.624	0.534	0.004	0.002	0.015	0.007	0.253	0.294	0.007	934	18.469	4290	0.014	0.015	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.014	0.000	0.000	0.023	0.000
AW110A	NODE_4920_length_8289_cov_35.3	0.387	0.002	0.000	0.422	0.231	0.002	0.001	0.006	0.002	0.058	0.079	0.002	3105	31.556	8289	0.005	0.006	0.006	0.000	0.002	0.000	0.000	0.000	0.000	0.003	0.002	0.005	0.003	0.002	0.003	0.003	0.000	0.003	0.000	0.000
AW110A	NODE_9437_length_5470_cov_30.7	0.374	0.005	0.001	0.564	0.309	0.004	0.001	0.016	0.005	0.075	0.100	0.004	1603	26.373	5470	0.016	0.012	0.000	0.006	0.006	0.012	0.005	0.005	0.012	0.006	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.010
AW110A	NODE_21251_length_3073_cov_16.3	0.250	0.003	0.002	0.119	0.334	0.000	0.007	0.008	0.006	0.099	0.129	0.007	448	14.740	3073	0.000	0.024	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_20881_length_3114_cov_15.1	0.238	0.002	0.001	0.100	0.327	0.000	0.006	0.006	0.004	0.111	0.143	0.005	458	13.662	3114	0.000	0.016	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_19005_length_3334_cov_23.4	0.320	0.001	0.001	0.990	0.198	0.001	0.001	0.016	0.003	0.122	0.154	0.003	798	20.939	3334	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_13710_length_4244_cov_49.9	0.478	0.008	0.002	0.340	0.366	0.007	0.002	0.016	0.006	0.136	0.169	0.006	2182	44.069	4244	0.010	0.024	0.017	0.000	0.011	0.006	0.009	0.000	0.000	0.005	0.012	0.000	0.000	0.006	0.017	0.011	0.000	0.010	0.010	0.016
AW110A	NODE_20532_length_3154_cov_12.4	0.231	0.001	0.001	0.293	0.271	0.000	0.002	0.008	0.004	0.172	0.211	0.004	389	10.744	3154	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_5594_length_7663_cov_31.2	0.348	0.000	0.000	0.990	0.305	0.000	0.000	0.004	0.001	0.190	0.228	0.001	2403	27.890	7663	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_11532_length_4798_cov_21.8	0.306	0.003	0.001	0.990	0.519	0.002	0.001	0.012	0.005	0.236	0.279	0.004	1048	19.223	4798	0.012	0.000	0.000	0.000	0.007	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.006	0.014	0.000	0.000	0.000	0.000
AW110A	NODE_5249_length_7947_cov_36.9	0.393	0.003	0.001	0.399	0.506	0.003	0.001	0.007	0.003	0.317	0.363	0.003	2925	32.299	7947	0.004	0.012	0.003	0.000	0.003	0.000	0.000	0.007	0.003	0.004	0.000	0.004	0.004	0.000	0.003	0.003	0.000	0.007	0.007	0.000
AW110A	NODE_16850_length_3649_cov_27.5	0.327	0.002	0.001	0.990	0.476	0.002	0.001	0.012	0.005	0.334	0.375	0.004	1014	24.653	3649	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.015	0.000	0.000
AW110A	NODE_7942_length_6127_cov_56.6	0.540	0.011	0.001	0.746	0.746	0.011	0.001	0.017	0.005	0.562	0.613	0.005	3412	49.547	6127	0.017	0.015	0.007	0.009	0.012	0.021	0.010	0.012	0.009	0.003	0.009	0.019	0.019	0.016	0.013	0.007	0.003	0.009	0.009	0.006
AW110A	NODE_1597_length_14855_cov_53.8	0.617	0.002	0.001	0.729	0.088	0.001	0.000	0.016	0.001	0.000	0.000	0.001	9190	48.509	14855	0.016	0.005	0.002	0.002	0.003	0.000	0.000	0.001	0.000	0.000	0.004	0.002	0.003	0.001	0.002	0.002	0.000	0.000	0.000	0.000
AW110A	NODE_4557_length_8664_cov_21.3	0.312	0.001	0.001	0.990	0.533	0.001	0.001	0.006	0.002	0.433	0.480	0.002	1935	18.863	8664	0.006	0.000	0.007	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_16180_length_3765_cov_24.5	0.312	0.001	0.001	0.990	0.003	0.000	0.000	0.011	0.000	0.056	0.077	0.000	1034	22.677	3765	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_844_length_20120_cov_142.0	0.937	0.005	0.000	0.384	0.090	0.004	0.000	0.011	0.001	0.000	0.000	0.001	27633	126.249	20120	0.011	0.007	0.006	0.007	0.005	0.003	0.004	0.004	0.003	0.003	0.007	0.003	0.004	0.003	0.003	0.003	0.004	0.004	0.004	0.004
AW110A	NODE_3534_length_10036_cov_57.8	0.552	0.004	0.001	0.370	0.159	0.003	0.001	0.009	0.002	0.009	0.015	0.002	5821	51.294	10036	0.009	0.008	0.005	0.007	0.002	0.000	0.003	0.004	0.005	0.005	0.000	0.001	0.002	0.006	0.002	0.002	0.003	0.003	0.003	0.002
AW110A	NODE_3974_length_9365_cov_64.0	0.635	0.007	0.001	0.299	0.080	0.004	0.001	0.021	0.003	0.000	0.000	0.003	5633	55.972	9365	0.019	0.020	0.010	0.015	0.006	0.005	0.005	0.010	0.006	0.002	0.003	0.002	0.004	0.002	0.002	0.008	0.005	0.010	0.004	0.005
AW110A	NODE_4389_length_8876_cov_37.5	0.411	0.003	0.001	0.315	0.162	0.002	0.001	0.008	0.002	0.018	0.028	0.002	3388	32.938	8876	0.009	0.002	0.005	0.008	0.000	0.002	0.005	0.002	0.002	0.000	0.000	0.002	0.004	0.002	0.000	0.002	0.000	0.002	0.002	0.002
AW110A	NODE_18934_length_3344_cov_19.2	0.233	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	688	16.909	3344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_4969_length_8232_cov_41.2	0.484	0.005	0.001	0.990	0.353	0.004	0.001	0.019	0.005	0.013	0.021	0.005	3334	36.475	8232	0.019	0.000	0.009	0.009	0.009	0.003	0.000	0.006	0.006	0.018	0.003	0.010	0.000	0.000	0.003	0.000	0.000	0.003	0.003	0.003
AW110A	NODE_21563_length_3034_cov_22.3	0.332	0.002	0.001	0.990	0.121	0.001	0.001	0.022	0.003	0.012	0.019	0.002	655	18.971	3034	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_8215_length_5998_cov_35.0	0.383	0.003	0.001	0.430	0.228	0.002	0.001	0.010	0.003	0.010	0.016	0.003	2146	31.449	5998	0.008	0.012	0.003	0.000	0.000	0.003	0.000	0.009	0.003	0.003	0.006	0.003	0.000	0.000	0.003	0.003	0.000	0.000	0.000	0.000
AW110A	NODE_2300_length_12481_cov_25.1	0.378	0.003	0.001	0.229	0.133	0.002	0.001	0.008	0.002	0.010	0.016	0.002	3303	22.189	12481	0.007	0.005	0.007	0.006	0.002	0.000	0.006	0.004	0.002	0.002	0.002	0.002	0.000	0.002	0.000	0.000	0.004	0.004	0.000	0.004
AW110A	NODE_1308_length_16421_cov_29.2	0.453	0.003	0.001	0.720	0.209	0.003	0.000	0.011	0.002	0.009	0.016	0.002	4620	25.278	16421	0.011	0.005	0.003	0.005	0.003	0.004	0.001	0.003	0.004	0.004	0.001	0.004	0.003	0.007	0.001	0.003	0.000	0.001	0.004	0.000
AW110A	NODE_5903_length_7395_cov_56.2	0.522	0.003	0.001	0.609	0.147	0.002	0.000	0.011	0.002	0.006	0.010	0.001	4284	49.418	7395	0.011	0.005	0.005	0.002	0.000	0.002	0.002	0.000	0.000	0.002	0.000	0.004	0.002	0.002	0.002	0.002	0.004	0.005	0.002	0.000
AW110A	NODE_4376_length_8885_cov_66.6	0.613	0.006	0.001	0.218	0.140	0.004	0.001	0.013	0.003	0.005	0.010	0.003	6273	59.367	8885	0.011	0.017	0.005	0.009	0.006	0.008	0.006	0.006	0.005	0.009	0.001	0.006	0.003	0.008	0.011	0.001	0.002	0.006	0.003	0.002
AW110A	NODE_6447_length_7005_cov_216.5	0.980	0.006	0.001	0.178	0.164	0.005	0.001	0.010	0.002	0.003	0.007	0.002	14741	190.681	7005	0.007	0.013	0.008	0.011	0.008	0.006	0.005	0.004	0.003	0.009	0.002	0.008	0.005	0.004	0.005	0.008	0.003	0.007	0.004	0.005
AW110A	NODE_14860_length_4006_cov_35.2	0.381	0.005	0.002	0.205	0.256	0.002	0.004	0.014	0.007	0.001	0.002	0.008	1269	31.267	4006	0.000	0.034	0.013	0.000	0.008	0.000	0.000	0.008	0.000	0.007	0.000	0.000	0.014	0.009	0.000	0.000	0.000	0.000	0.000	0.008
AW110A	NODE_8121_length_6039_cov_64.1	0.564	0.005	0.001	0.299	0.147	0.004	0.001	0.014	0.003	0.000	0.001	0.003	3244	55.470	6039	0.015	0.010	0.008	0.005	0.015	0.000	0.002	0.007	0.002	0.006	0.004	0.006	0.004	0.002	0.004	0.000	0.006	0.006	0.000	0.006
AW110A	NODE_4208_length_9066_cov_28.3	0.468	0.007	0.002	0.481	0.090	0.005	0.001	0.029	0.003	0.000	0.001	0.003	2777	25.332	9066	0.028	0.021	0.009	0.004	0.008	0.009	0.004	0.004	0.004	0.008	0.004	0.000	0.008	0.008	0.005	0.004	0.009	0.000	0.004	0.000
AW110A	NODE_14450_length_4088_cov_35.4	0.367	0.004	0.001	0.128	0.076	0.000	0.003	0.012	0.002	0.000	0.001	0.003	1464	30.524	4088	0.009	0.011	0.010	0.009	0.009	0.015	0.005	0.005	0.004	0.000	0.000	0.000	0.000	0.004	0.005	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_585_length_23511_cov_31.0	0.536	0.003	0.001	0.288	0.108	0.001	0.001	0.010	0.002	0.000	0.000	0.002	7348	27.396	23511	0.012	0.004	0.005	0.009	0.005	0.001	0.001	0.000	0.003	0.006	0.003	0.004	0.001	0.001	0.002	0.000	0.002	0.001	0.001	0.001
AW110A	NODE_8748_length_5758_cov_66.6	0.610	0.004	0.001	0.511	0.156	0.002	0.001	0.017	0.003	0.000	0.000	0.003	4264	60.660	5758	0.016	0.013	0.003	0.005	0.000	0.000	0.008	0.000	0.000	0.003	0.000	0.008	0.003	0.003	0.003	0.000	0.000	0.000	0.003	0.006
AW110A	NODE_1761_length_14114_cov_30.1	0.418	0.002	0.000	0.234	0.079	0.001	0.001	0.007	0.001	0.000	0.000	0.001	4387	26.547	14114	0.006	0.008	0.004	0.003	0.003	0.002	0.000	0.000	0.002	0.000	0.003	0.002	0.002	0.002	0.000	0.002	0.000	0.000	0.000	0.000
AW110A	NODE_5133_length_8057_cov_48.7	0.503	0.005	0.001	0.256	0.095	0.002	0.001	0.015	0.002	0.000	0.000	0.003	3946	42.636	8057	0.013	0.015	0.012	0.004	0.004	0.005	0.000	0.009	0.002	0.008	0.007	0.002	0.002	0.002	0.004	0.000	0.000	0.004	0.002	0.002
AW110A	NODE_6141_length_7213_cov_41.7	0.440	0.003	0.001	0.493	0.191	0.002	0.001	0.012	0.003	0.000	0.000	0.003	3038	36.853	7213	0.012	0.008	0.000	0.010	0.000	0.000	0.000	0.000	0.005	0.000	0.002	0.005	0.000	0.003	0.000	0.003	0.000	0.005	0.000	0.000
AW110A	NODE_13885_length_4209_cov_53.0	0.489	0.004	0.001	0.296	0.159	0.001	0.002	0.014	0.004	0.000	0.000	0.004	2320	47.273	4209	0.012	0.018	0.000	0.014	0.000	0.000	0.000	0.000	0.005	0.009	0.005	0.004	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000
AW110A	NODE_241_length_31851_cov_95.7	0.888	0.005	0.000	0.410	0.113	0.004	0.000	0.010	0.001	0.000	0.000	0.001	30312	85.231	31851	0.010	0.009	0.004	0.007	0.006	0.003	0.003	0.005	0.005	0.006	0.004	0.005	0.003	0.005	0.005	0.003	0.003	0.006	0.004	0.004
