sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
UT30	NODE_75736_length_3503_cov_9.5	2	superkingdom	Bacteria	3	3	2	0.5	d_Bacteria
UT30	NODE_88754_length_3024_cov_12.9	286	family	Lachnospiraceae	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
Zape1	NODE_1159_length_19919_cov_56.4	517	family	Ruminococcaceae	19	18	12	0.68	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
Zape1	NODE_3709_length_11476_cov_56.5	15500	species	Acinetobacter sp003711395	19	19	12	0.75	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter sp003711395
Zape1	NODE_7723_length_7607_cov_39.9	29071	species	COE1 sp900753305	7	6	5	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_COE1;s_COE1 sp900753305
Zape1	NODE_16709_length_4699_cov_30.1	29944	species	Choladousia sp902363665	3	3	2	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Choladousia;s_Choladousia sp902363665
Zape1	NODE_25509_length_3515_cov_19.1	10835	species	Cryptobacteroides sp000434935	8	7	4	0.74	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp000434935
Zape2	NODE_634_length_24409_cov_87.3	1	no rank	root	10	9	9	1.0	-_root
Zape2	NODE_3572_length_9374_cov_55.4	8273	species	CAG-307 sp001916215	11	10	5	0.5	d_Bacteria;p_Firmicutes;c_Bacilli;o_Acholeplasmatales;f_Anaeroplasmataceae;g_CAG-307;s_CAG-307 sp001916215
Zape2	NODE_12495_length_3783_cov_47.4	9947	species	Psychrobacillus sp008807035	4	4	3	0.75	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Psychrobacillus;s_Psychrobacillus sp008807035
UT30	NODE_3571_length_38894_cov_27.5	2736	species	Eubacterium I ramulus	42	41	19	0.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium I;s_Eubacterium I ramulus
UT30	NODE_4564_length_33733_cov_76.4	5394	species	Prevotella sp900548195	38	37	21	0.66	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella;s_Prevotella sp900548195
UT30	NODE_5487_length_30105_cov_22.1	331	family	Acutalibacteraceae	25	22	16	0.87	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae
UT30	NODE_6946_length_25844_cov_20.4	15864	species	Merdousia sp000438015	21	20	18	0.9	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp000438015
UT30	NODE_8273_length_23094_cov_34.8	1911	species	Lachnospira rogosae A	29	28	23	0.87	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira;s_Lachnospira rogosae A
UT30	NODE_9740_length_20604_cov_43.7	7722	species	Blautia A sp900548245	19	18	12	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A;s_Blautia A sp900548245
UT30	NODE_11116_length_18707_cov_27.5	9790	species	Faecousia sp900546415	27	25	16	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia;s_Faecousia sp900546415
UT30	NODE_13579_length_16061_cov_30.8	286	family	Lachnospiraceae	7	6	3	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_16130_length_14088_cov_32.8	1613	species	Blautia A sp003471165	19	19	6	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia A;s_Blautia A sp003471165
UT30	NODE_18688_length_12489_cov_31.7	37	class	Clostridia	9	9	5	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia
Zape1	NODE_12387_length_5708_cov_38.6	1954	species	SFEL01 sp004557245	5	5	3	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_SFEL01;s_SFEL01 sp004557245
Zape1	NODE_20661_length_4076_cov_28.6	37	class	Clostridia	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia
Zape2	NODE_197_length_37653_cov_54.7	4145	species	Paraprevotella clara	47	43	21	0.54	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Paraprevotella;s_Paraprevotella clara
Zape2	NODE_2424_length_12074_cov_270.1	44	species	Enterococcus B faecium	18	18	10	0.71	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B faecium
Zape2	NODE_7723_length_5446_cov_60.7	838	species	UBA11524 sp000437595	4	4	3	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_UBA11524;s_UBA11524 sp000437595
AW107	NODE_93_length_41852_cov_112.8	9602	genus	Hallerella	42	42	34	0.83	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae;g_Hallerella
AW107	NODE_1668_length_12412_cov_34.2	3415	species	Desulfovibrio sp900556755	13	12	6	0.54	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio sp900556755
AW107	NODE_9656_length_4708_cov_31.8	4021	genus	CAG-115	6	6	4	0.79	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_CAG-115
AW107	NODE_20452_length_3107_cov_20.3	2	superkingdom	Bacteria	5	5	5	1.0	d_Bacteria
Zape3	NODE_651_length_30195_cov_70.0	286	family	Lachnospiraceae	32	31	18	0.62	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT43	NODE_6485_length_8623_cov_45.7	27913	species	UBA1174 sp900556855	10	10	8	0.99	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales;f_Elusimicrobiaceae;g_UBA1174;s_UBA1174 sp900556855
UT43	NODE_10830_length_5940_cov_26.6	14871	species	Marvinbryantia sp900066075	6	6	3	0.73	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Marvinbryantia;s_Marvinbryantia sp900066075
UT43	NODE_19438_length_3803_cov_56.7	517	family	Ruminococcaceae	4	4	4	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
AW110A	NODE_844_length_20120_cov_142.0	39384	species	VUNI01 sp009695765	23	22	14	0.77	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_VUNI01;s_VUNI01 sp009695765
AW110A	NODE_8538_length_5853_cov_31.7	47689	species	Phocaeicola gallistercoris	4	4	2	0.5	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola;s_Phocaeicola gallistercoris
UT30	NODE_24_length_236668_cov_68.9	32779	species	UBA11957 sp016301965	298	288	124	0.54	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_UBA11957;s_UBA11957 sp016301965
UT30	NODE_227_length_131690_cov_47.3	26544	species	Peribacillus psychrosaccharolyticus	141	134	89	0.74	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-1321;g_Peribacillus;s_Peribacillus psychrosaccharolyticus
UT30	NODE_546_length_96761_cov_41.1	24461	species	Arthrobacter B koreensis	126	116	58	0.6	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter B;s_Arthrobacter B koreensis
UT30	NODE_998_length_73790_cov_47.5	24461	species	Arthrobacter B koreensis	114	108	57	0.65	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter B;s_Arthrobacter B koreensis
UT30	NODE_1471_length_61517_cov_112.3	12797	species	CAG-303 sp000437755	53	50	29	0.62	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303 sp000437755
UT30	NODE_46325_length_5592_cov_15.6	217	species	Enterococcus B hirae	7	6	3	0.6	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B hirae
UT30	NODE_55830_length_4672_cov_22.9	9946	genus	Psychrobacillus	8	8	5	0.71	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Psychrobacillus
UT30	NODE_66449_length_3960_cov_135.5	37	class	Clostridia	24	22	16	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia
UT30	NODE_74719_length_3549_cov_13.2	82030	species	UBA1428 sp002329335	5	4	4	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_UBA1750;g_UBA1428;s_UBA1428 sp002329335
UT30	NODE_86841_length_3084_cov_127.4	4298	family	UBA660	5	5	5	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660
Zape1	NODE_874_length_22714_cov_34.0	20766	species	Merdousia sp900548275	16	16	13	0.81	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia;s_Merdousia sp900548275
Zape1	NODE_3010_length_12709_cov_57.5	34	genus	Acinetobacter	19	19	15	0.86	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter
Zape1	NODE_6491_length_8432_cov_23.6	13855	species	UBA1829 sp900548385	9	9	9	1.0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_Victivallales;f_UBA1829;g_UBA1829;s_UBA1829 sp900548385
Zape1	NODE_14699_length_5125_cov_65.9	10264	species	UBA1436 sp002329395	5	5	3	0.51	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales;f_Elusimicrobiaceae;g_UBA1436;s_UBA1436 sp002329395
Zape1	NODE_23025_length_3775_cov_61.5	67804	species	Firm-04 sp016296505	5	5	4	0.8	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Firm-04;s_Firm-04 sp016296505
UT30	NODE_2303_length_49154_cov_605.3	8708	species	CAG-177 sp000431775	61	55	32	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_CAG-177;s_CAG-177 sp000431775
UT30	NODE_3319_length_40380_cov_32.9	38925	species	Parabacteroides sp900770835	45	44	20	0.55	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides sp900770835
UT30	NODE_4231_length_35381_cov_40.2	13756	species	UBA1206 sp000433115	43	40	27	0.77	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-382;g_UBA1206;s_UBA1206 sp000433115
UT30	NODE_5185_length_31275_cov_15.6	2	superkingdom	Bacteria	5	5	4	0.68	d_Bacteria
UT30	NODE_6371_length_27245_cov_32.1	321	family	Micrococcaceae	29	29	25	0.87	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae
UT30	NODE_7712_length_24192_cov_31.2	3548	species	Butyribacter intestini	28	27	16	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter intestini
UT30	NODE_9189_length_21463_cov_21.7	423	species	Enterococcus D casseliflavus	25	23	10	0.52	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus D;s_Enterococcus D casseliflavus
UT30	NODE_10660_length_19273_cov_54.9	374	genus	Prevotella	24	21	16	0.99	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella
UT30	NODE_12671_length_16964_cov_22.7	12482	species	CAG-83 sp900555735	12	11	8	0.7	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83;s_CAG-83 sp900555735
UT30	NODE_15415_length_14566_cov_26.3	50813	species	RUG14121 sp902795845	21	21	15	0.81	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_RUG14121;s_RUG14121 sp902795845
Zape1	NODE_15979_length_4836_cov_73.6	4210	species	Fimenecus sp004556705	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Fimenecus;s_Fimenecus sp004556705
Zape1	NODE_25147_length_3552_cov_31.2	52141	species	RGIG8773 sp018110825	2	2	1	0.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_RGIG8773;s_RGIG8773 sp018110825
Zape2	NODE_602_length_24877_cov_78.8	2	superkingdom	Bacteria	5	4	4	1.0	d_Bacteria
Zape2	NODE_3189_length_10062_cov_69.4	1	no rank	root	1	1	1	1.0	-_root
Zape2	NODE_10742_length_4222_cov_47.5	217	species	Enterococcus B hirae	6	6	5	0.98	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B hirae
AW107	NODE_305_length_26559_cov_109.4	2320	species	PeH17 sp000435055	28	26	23	0.95	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_PeH17;s_PeH17 sp000435055
AW107	NODE_3531_length_8328_cov_81.2	19996	species	Prevotella sp900770395	10	9	3	0.7	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella;s_Prevotella sp900770395
AW107	NODE_12214_length_4127_cov_33.6	20812	species	Faecivicinus sp900553265	3	3	2	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_Faecivicinus;s_Faecivicinus sp900553265
Zape3	NODE_65_length_84131_cov_223.3	945	genus	Coprococcus	81	77	58	0.88	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Coprococcus
Zape3	NODE_1069_length_22159_cov_83.6	25843	species	UMGS1696 sp900554225	18	18	14	0.78	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272;g_UMGS1696;s_UMGS1696 sp900554225
UT43	NODE_21449_length_3527_cov_32.9	28925	species	Planococcus massiliensis	3	3	3	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus;s_Planococcus massiliensis
AW110A	NODE_1459_length_15657_cov_79.6	53279	genus	HGM12587	15	15	9	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_HGM12587
AW110A	NODE_9438_length_5470_cov_29.0	6355	genus	UBA737	8	8	2	0.61	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA737
UT30	NODE_37_length_215051_cov_65.1	35865	species	CAG-1000 sp900768345	243	225	115	0.56	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_CAG-1000;s_CAG-1000 sp900768345
UT30	NODE_258_length_125696_cov_79.2	2504	genus	Eubacterium R	146	133	108	0.9	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Eubacterium R
UT30	NODE_576_length_94173_cov_47.2	76472	species	SIG351 sp905210525	97	93	71	0.89	d_Bacteria;p_Firmicutes A;c_Clostridia;o_HGM11327;f_HGM11327;g_SIG351;s_SIG351 sp905210525
UT30	NODE_1070_length_71623_cov_224.9	286	family	Lachnospiraceae	68	62	46	0.76	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_1532_length_60189_cov_71.3	3197	genus	Schaedlerella	80	73	28	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Schaedlerella
UT30	NODE_2156_length_51256_cov_83.0	11657	species	RUG131 sp900315885	51	49	37	0.77	d_Bacteria;p_Firmicutes;c_Bacilli;o_RFN20;f_CAG-826;g_RUG131;s_RUG131 sp900315885
UT30	NODE_2884_length_43670_cov_44.9	330	order	Oscillospirales	40	40	22	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
UT30	NODE_1762_length_56711_cov_20.5	6330	family	CAG-272	63	55	25	0.55	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272
UT30	NODE_2389_length_48229_cov_241.9	10	class	Bacilli	43	39	27	0.62	d_Bacteria;p_Firmicutes;c_Bacilli
UT30	NODE_3370_length_40128_cov_56.4	16661	species	CAG-632 sp002406015	43	41	29	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632 sp002406015
UT30	NODE_4385_length_34594_cov_145.8	8496	genus	Planococcus	42	40	37	0.94	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus
UT30	NODE_5378_length_30514_cov_29.8	7746	species	CAG-448 sp003150135	37	36	21	0.71	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272;g_CAG-448;s_CAG-448 sp003150135
UT30	NODE_6723_length_26336_cov_30.7	2736	species	Eubacterium I ramulus	24	23	12	0.57	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium I;s_Eubacterium I ramulus
UT30	NODE_7832_length_23933_cov_51.0	17114	species	CAG-83 sp900548615	36	34	19	0.74	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83;s_CAG-83 sp900548615
UT30	NODE_9352_length_21212_cov_39.9	443	genus	Anaerostipes	28	28	22	0.78	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaerostipes
UT30	NODE_10898_length_18984_cov_54.4	286	family	Lachnospiraceae	12	12	9	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_13085_length_16555_cov_121.7	14189	species	SFHK01 sp004556395	19	19	10	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_SFHK01;s_SFHK01 sp004556395
Zape3	NODE_2754_length_11520_cov_55.4	286	family	Lachnospiraceae	13	13	8	0.63	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
Zape3	NODE_10392_length_4490_cov_28.3	286	family	Lachnospiraceae	2	2	2	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
AW108	NODE_300_length_45539_cov_352.1	8247	species	CAG-95 sp000438155	35	35	19	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95;s_CAG-95 sp000438155
AW108	NODE_2055_length_13758_cov_404.1	8246	genus	CAG-95	13	12	11	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95
AW108	NODE_5461_length_6986_cov_19.7	6321	species	Bacteroides F pectinophilus	9	9	6	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bacteroides F;s_Bacteroides F pectinophilus
AW108	NODE_16457_length_3399_cov_24.9	8881	species	CAG-115 sp003507295	4	4	2	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_CAG-115;s_CAG-115 sp003507295
UT43	NODE_448_length_35923_cov_108.1	3574	species	F23-B02 sp004556755	52	50	37	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_F23-B02;s_F23-B02 sp004556755
UT43	NODE_1936_length_17654_cov_93.1	5469	family	CAG-508	6	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508
UT43	NODE_3844_length_11946_cov_112.7	12531	species	Cryptobacteroides sp900544195	19	19	11	0.88	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900544195
UT43	NODE_7104_length_8075_cov_46.3	27913	species	UBA1174 sp900556855	10	10	8	0.88	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales;f_Elusimicrobiaceae;g_UBA1174;s_UBA1174 sp900556855
UT30	NODE_5968_length_28454_cov_56.5	760	genus	Gemmiger	46	45	18	0.61	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Gemmiger
UT30	NODE_7364_length_24921_cov_20.7	3706	species	Butyribacter sp003529475	22	21	11	0.53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter sp003529475
UT30	NODE_8685_length_22358_cov_26.4	8161	genus	UBA6857	25	24	15	0.68	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA6857
UT30	NODE_10270_length_19834_cov_19.6	19399	genus	RGIG2000	25	25	12	0.55	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272;g_RGIG2000
UT30	NODE_12048_length_17605_cov_101.2	331	family	Acutalibacteraceae	19	18	14	0.84	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae
UT30	NODE_14551_length_15233_cov_62.8	990	genus	Faecousia	21	17	12	0.84	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia
UT30	NODE_17466_length_13184_cov_32.0	286	family	Lachnospiraceae	11	11	8	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_19768_length_11942_cov_408.9	8496	genus	Planococcus	19	17	15	0.99	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus
UT30	NODE_24095_length_10103_cov_28.4	3548	species	Butyribacter intestini	14	14	12	0.89	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter intestini
UT30	NODE_27362_length_9081_cov_80.6	928	species	Lachnospira eligens A	11	11	11	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira;s_Lachnospira eligens A
UT30	NODE_17307_length_13296_cov_63.6	927	genus	Lachnospira	15	15	15	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
UT30	NODE_19586_length_12026_cov_22.4	4451	genus	Stercorousia	15	15	15	1.0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia;o_Gastranaerophilales;f_Gastranaerophilaceae;g_Stercorousia
UT30	NODE_24034_length_10122_cov_12.1	14019	species	Phocaeicola sp000434735	12	11	7	0.7	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola;s_Phocaeicola sp000434735
UT30	NODE_27073_length_9164_cov_92.2	2	superkingdom	Bacteria	9	9	9	1.0	d_Bacteria
UT30	NODE_31023_length_8099_cov_17.3	1939	genus	CAG-83	12	12	8	0.77	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83
UT30	NODE_37056_length_6898_cov_34.2	330	order	Oscillospirales	10	9	5	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
UT30	NODE_43913_length_5889_cov_16.8	2037	genus	CAG-41	7	7	4	0.66	d_Bacteria;p_Firmicutes A;c_Clostridia;o_UBA1381;f_UBA1381;g_CAG-41
UT30	NODE_52517_length_4959_cov_14.7	49348	species	Selenomonas A sp900769615	9	8	3	0.94	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas A;s_Selenomonas A sp900769615
UT30	NODE_62678_length_4184_cov_14.0	18970	genus	W0P33-017	8	8	5	0.98	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_W0P33-017
UT30	NODE_72664_length_3642_cov_33.3	37	class	Clostridia	4	4	3	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia
Zape1	NODE_31189_length_3048_cov_13.1	61333	species	Acinetobacter equi	2	2	1	0.5	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter equi
Zape2	NODE_1484_length_16185_cov_243.8	43	genus	Enterococcus B	17	15	13	0.84	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B
Zape2	NODE_5039_length_7460_cov_28.4	76301	species	Saccharopolyspora C sp016526145	9	9	5	0.62	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae;g_Saccharopolyspora C;s_Saccharopolyspora C sp016526145
Zape2	NODE_15229_length_3253_cov_18.4	24	class	Actinomycetia	7	7	5	0.67	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
AW107	NODE_1163_length_14594_cov_111.7	17002	species	Cryptobacteroides sp002321335	15	13	7	0.63	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp002321335
AW107	NODE_6839_length_5707_cov_19.3	24265	species	Lachnospira sp900547255	3	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira;s_Lachnospira sp900547255
AW107	NODE_15564_length_3601_cov_26.6	17582	species	Cryptobacteroides sp900545245	4	4	4	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900545245
Zape3	NODE_339_length_42118_cov_72.3	5517	genus	CAG-510	42	41	35	0.86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510
Zape3	NODE_1462_length_17928_cov_111.6	2	superkingdom	Bacteria	3	3	2	0.51	d_Bacteria
Zape3	NODE_7230_length_5738_cov_83.3	1510	genus	CAG-217	12	12	4	0.55	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_CAG-217
